Q1	massage oil buy good oil massage
Q6_C2	cheap buy new clothes qatar pay kinda particular partial clothing bring mine choice infinite shopping available either
Q6_C3	cheap buy new clothes qatar pay already clothes infinitely cheap bring buy
Q6_C4	cheap buy new clothes qatar pay want reiterate price much higher example yesterday ms look pair trouser uk price qatar price means sterling current rates next found even worse another shop buy son clark costing uk talk mark also say range clothing average uk taste quite limited soon go outside uk shop run rather ornate clothing quality questionable sure higher end international shop compare currently counting days go back uk summer hit summer sales planning going empty case coming back rather full one
Q7	resign job employer recruit business development executive labor put impossible want resign
Q7_C1	u sign contract u sign contract u check stipulate sometimes employer require employee pay certain amount fee resign probationary period mention long working company
Q7_C2	yes right resign problem
Q7_C3	like getting ban like getting ban years right
Q7_C4	resign go back resign go back
Q8	know best sell trade car doha thinking trading selling car case want trade best trading company well sell
Q8_C1	know best sell trade car best place
Q8_C2	know best sell trade car u r already best place advertize
Q8_C3	know best sell trade car might take awhile sell dodge car nowadays looking best sell place suggest park car one car shop roads take awhile notice best bet find car showroom inside doha add car contact rest
Q8_C4	know best sell trade car try site www dot dot www dot dot luck
Q8_C5	know best sell trade car approach oasis use car best location near crazy signal dial get contact number
Q8_C6	know best sell trade car road lot car showroom also let tell like adventure go industrial area street thursday friday find self car car people u go upset fault
Q8_C7	know best sell trade car car
Q9	doubt like know information suppose someone come visit visa extend six month six month go doubt many moth wait come come within one month new visit visa
Q9_C1	twinkle twinkle little star come clear doubt
Q9_C2	person family sponsorship visa think extensible month anyways person wait month come back
Q9_C3	three month three month
Q9_C4	living reputation bond given moth help creature destroy cloth doubt moth help puerile though living persona create say cant answer question problem travel english much hate travel anywhere like
Q10	temple qatar hi indian live qatar temple qatar
Q10_C1	temple qatar write temple search right hand side u find many threads topic
Q10_C2	temple qatar qatar basically islamic country see asian expat slave nothing u may see church wont find temple idol worship allow islam hence wont find temple hope one day qatar change attitude seeing asian slave
Q10_C3	temple qatar prejudice qatar leave country religious sentiment bash claim asian slave treat leader community beware statement lead deportation also know still kid base profile refrain unworthy comment otherwise lead problem parent earn livelihood feeding
Q10_C4	temple qatar sunder treat u slave u consider rotten think one bother chain ur legs shackle keep u meaningful gain u making slave respect human deserve freedom choose stay go away place like u like system hell u making slave dog lost man ur country sure wherever u go u definitely treat cheer
Q10_C5	temple qatar u right speak give ur comment suggestion u respect qatar giving comment ur brother somebody treat u slave generalize local know indian lazy try think know know really
Q11	best hijacker please comment
Q11_C1	live nothing die
Q11_C2	live nothing die
Q11_C3	live nothing die
Q12	news hear dubai tomorrow
Q12_C1	friday
Q12_C2	mubarak muslim mubarak muslim fellow
Q12_C3	ok thanks info happy ok thanks info happy
Q12_C4	well well month ramadan vice
Q12_C5	
Q13	urgent reply near health center church
Q13_C1	urgent reply question clear need urgent reply next impossible wait next world cup football new construction coming qatar someone try answer
Q13_C2	urgent reply seem try find health centre al area near one airport health centre go ask guide airport health centre airport road near
Q13_C3	urgent reply thanks guy reply
Q14	g v opinion new car shopping seeking opinion short list car g car asking maintain car purchasing sales services
Q14_C1	better better
Q14_C2	afford f afford f nothing like
Q14_C3	g g
Q14_C4	take ride car luxurious fast looking pretty nice function need much modification already look hot stock infinity g modify nicely mean choice good luck
Q14_C5	hybrid hybrid much modern wait new one update option
Q15	interest private pilot training wonder interest getting private pilot licence qatar
Q15_C1	border video host
Q16	bye bye time almost pm almost time go interest day see tomorrow hopefully there much traffic travelling home breeze good evening
Q16_C1	md md
Q17	watch oyster perpetual watch know happen stops use le adjust idea
Q17_C1	watch go east either city centre al maha near agent technician
Q17_C2	watch aby say motion watch
Q17_C3	watch agent modern home u must take advice accord advice u take watch best luck
Q17_C4	watch common finding first starting use panic first get mine take back dealer stop take night first time get days wont stop u leave overnight stop u leave couple days
Q17_C5	watch fan designer usually buy luxury watch love watch shop offer excellent quality decent willing visit
Q18	body massage hi see lot massage center one better someone help massage center much cost thanks
Q18_C1	choose lady massage
Q18_C2	enjoy spa enjoy spa massage lot often go ritz cookie life friend chocolate chips
Q18_C3	hi looking message recommend one go going semi guy u r looking go ahead otherwise one decent al street al plaza coming new traffic light near call like good luck
Q18_C4	share similar interest good facial ritz lovely spa expensive new place open city centre call specialise expensive lady siam centre near toy r us area good specialise thai massage stuff facial really nice soothe long time back difficult speak thai break english massage try chinese reflexology massage good also massage centre area cheap good body pains price almost saloon facial real extensive range need try place get feel saw profile sound much like except coke margarita part
Q18_C5	lady message hi lady make good message home either men woman kindly send mail charge mention also thanks
Q18_C6	message one make message pick damn cell phone start text sm message ever call massage get jail female inspector foot long stick p p p p p
Q18_C7	true true
Q18_C8	u reach luck
Q18_C9	lady siam massage ok excellent ok overall experience best never reach phone receptionist friendly punctual another words looking experience place go
Q18_C10	massage body know doha kindly r best giving massage email
Q18_C11	hi qatar one place keep away go check massage center know u get massage cheer
Q18_C12	lady siam massage member last years perfect place highly recommend always fully book schedule one week advance get one gel nail services well
Q18_C13	hay guy thanks guess try lady new try doha
Q18_C14	ask hi ask amaze fun mc
Q18_C15	u get body u get body massage going inside place person work imagination wont fun ultra relax happy heart drive safe cos someone waiting u home
Q18_C16	lady siam massage recommend place own thai girlfriend facial good aromatherapy better massage
Q18_C17	professional massage like professional sport massage fitness session masseur good ok also indian found depress clean male section far know always masseur men masseuse avoid expectation try british massage therapist ad
Q18_C18	get interest much charge massage back whole body there anywhere place thanks
Q18_C19	say chief inspector speaking massage honor peter sellers
Q19	giving birth qatar hi wife nearly give birth wonder best qatar people consider best al clinic al doha please share us idea experience give us advice thanks advance
Q19_C1	even go al even go al delivery refer certificate immunization go go simply increase expense
Q19_C2	al best u al best u insurance deliver month back well take care limited number bed labour room times u wait turn
Q19_C3	best doha hospital best doha hospital maha best
Q19_C4	understand understand government hospital doha clinic private right always private better government concern caring experience doctor right
Q19_C5	pay pay day free even going perform room charge going pay patient short stays cheap wife deliver third baby even insurance still consider wife deliver next baby week much satisfy service lowest cost
Q19_C6	charge charge day visit visa pregnant woman deliver woman hospital info
Q20	qatar airway cabin crew want apply qatar airway cabin crew let sponsor son
Q20_C1	free wont free free tho free
Q20_C2	well think hire married female policy chance select sponsor son cheer
Q20_C3	married single mom
Q20_C4	problem problem join sponsor son definitely recruit married
Q20_C5	qatar qatar sponsor family work government
Q21	doha filipino doha like black pearl shake doha yes please
Q21_C1	setup store open setup store open every mall city center plaza landmark mall lulu hypermarket may also consider store far go life depend tender young compassionate aged tolerant weak someday
Q21_C2	oh oh
Q21_C3	love quickly love quickly better
Q21_C4	
Q21_C5	sorry say u sorry say u one
Q21_C6	bigger n longer u bigger n longer u u try
Q21_C7	yes process registration way
Q21_C8	big big yes temper u cant get rid loose
Q21_C9	wish success reyes looking forward business prosper well waiting happen kind enough give us input get start putting business qatar believe
Q21_C10	look like
Q21_C11	yes yes
Q21_C12	u planning u planning put business
Q21_C13	food franchise food franchise philippines franchise owner happy know idea believe business issue hurdle first franchise foreign country starting concept wither franchise personal feasible guts understanding government business operations qatar essential customer satisfaction profitability come next sure regular customer family love hear get one doha
Q22	buy globe roam qatar tell buy globe roam thanks selling globe roam call
Q22_C1	bonito bonito cut paste globe website mine words use work smart p
Q22_C2	working working either smart globe opinion buy one family pack disappointment true network misguide false advert border life cycle
Q22_C3	say say working smart globe mean first post bet come website globe cut paste
Q22_C4	mo mo globe family pack come pc roam pc family sell available designate retail outlet philippines u easily find processing ur papers ng sa ng ng ng number ko sellers sa border life cycle
Q22_C5	mean mean globe user call globe roam seriously rate minute
Q22_C6	ng catsup ng ng catsup ng tao
Q22_C7	sa smart chat using bat
Q22_C8	hear globe signal good besides calling roam expensive anyway ull find roam smart know globe border
Q22_C9	go filipino go filipino cab get
Q22_C10	ask po po ask po po load dun sa border border
Q22_C11	already check supermarket globe roam smart using smart temporary smart call sure globe expensive text smart cost every text call cost min maybe ill try find globe hope get one globe good signal arrive using globe roam ok deactivate last thursday load catch ill try check store cant really find one maybe ill ask friend going qatar thanks filipino
Q22_C12	see globe see globe filipino lots smart available
Q22_C13	suggest suggest switch smart tell encouragement idea advantage disadvantage globe smart go smart load everyday every week maintain activate air reload month deactivate within days load peso text roam smart signal also good doha industrial area good city globe maintain load rest life abroad much expensive smart activate roam pure text globe call expensive international rate charge apply happen buy globe bull say tv commercial maintain balance year forever remember anymore true still reload within month use guess working doha right bet talk night work morning buy office think still going better yet internet call locate doha maybe industrial area minute cheap using call minute
Q22_C14	globe family pack come globe family pack come pc roam pc family sell available designate retail outlet philippines u easily find processing ur papers family text call cost philippine local standard sm calling charge remains still active even zero load balance abroad provide however family must use facility sm calling time exceed within month period anyhow family sm calling activity within month service automatically deactivate likewise lost special service capability regard ordinary
Q22_C15	stick globe lots stick globe lots smart roam available area electronic loading also available
Q23	gulf driving school want take driving class gulf driving school near flat suggest popularity school
Q23_C1	gulf driving school popular guy living near flat
Q23_C2	gulf driving school people prefer driving school registration process swift hear fella full course enrollment come month
Q23_C3	gulf driving school gulf driving school offer best chance getting licence driving school popular high success rate teaching however terrible really want learn driving go place want licence try gulf driving school
Q24	location bosnia know location bosnia near center
Q24_C1	location bosnia bosnia locate left romania right rome little hungary little bulgaria far black see think enough u thank u
Q24_C2	location bosnia mean bosnia embassy
Q24_C3	location bosnia hello show
Q24_C4	location bosnia generous
Q24_C5	location bosnia looking embassy bosnia somebody call say near center going later evening
Q24_C6	location bosnia hello friend bear mind one centre
Q24_C7	location bosnia bosnian ring go get get location
Q25	walking doha hi might bit odd question walk japanese embassy hotel city centre shopping centre look definitely roads preclude chance walking
Q25_C1	unsafe u dodge bullet bomb air strike
Q25_C2	see lot people see lot people walking city centre area evening weekend park car around w stuff walk really safe sidewalk doha say see many people life unsafe general
Q25_C3	thanks much thanks much make mistake going dubai assume easily walk across sheikh road
Q25_C4	yes yes winter
Q26	general tier migrant visa uk hi lady gentleman like know one experience apply uk visa general tier allow u work uk please ur advise v important
Q26_C1	happen know first happen know first age education earnings past applicant allot point meet minimum point visa category problem apply outside uk even currently reside different visa category want know specifically live like there
Q26_C2	thanks reply pin thanks reply pin u apply type visa like know easy accept long take know grant visa please advise
Q26_C3	yes working yes working living london year highly skilled migrant programme subsequently switch tier general bear mind get visa way uk recession job easy come unemployment big issue wont able renew tier visa skilled job anyways unlawful reject application meet minimum point proof meet require english standard minimum funds obviously must prior criminal conviction previously abuse immigration overstay visa outstanding fine uk bother apply meet application approval take week apply malaysia precise requirement point calculate see good luck live like there
Q26_C4	lucky advice lucky advice knowing u go procedure u mean wont able renew tier visa skilled job actually renew gauge approval require profession top one u mention u validate ur degree advice must bank statement older days fine bit older apply years ago take consideration please advise thanks v much indeed
Q26_C5	tier general visa month extend stay beyond month must renew wont able job far know must least bachelor degree accept highly skilled want original document copy worry return bank statement latest month showing minimum must original well accept marks must internet base test must also provide original cert test scores live like there
Q26_C6	one query u think accept notarize copy certificate original one possible get ur email future correspondence thanks much v helpful
Q26_C7	thanks much ur reply greatly appreciate
Q27	help advice kid cant sleep whole start sleep
Q27_C1	help recommend buying melatonin start using week ago get sleepy soon taking great sleep wake lingering tiredness like say panadol night pharmacy opposite carrefour definitely sure find pharmacy prescription need course best luck
Q27_C2	help use medication asking
Q27_C3	help let sleep day night fall get ever change bed entertain day allow night toddler usually want try experience understand night sleep use light use mild encourage night feel night automatically go sleep try bedtime bed time never ever change think work surely
Q27_C4	help addict playing game gadget one reason also limit avoid nd discipline parent best know best best regard
Q28	buy low cake hi buy make order cake sweetener use thanks
Q28_C1	buy low u place order accordingly local u cant find
Q28_C2	buy low bake home
Q28_C3	buy low go water cracker instead otherwise diet shop road next johnny rocket sell looking
Q29	printable map doha hard find internet even find doha map doha map print least internet link
Q29_C1	printable map doha please use link
Q29_C2	printable map doha go stationery shop buy one there also good one
Q29_C3	printable map doha qatar guidebook call excellent map hard keep map update always lots construction know road use yesterday close disappear doha ritz hotel stocks map guest bet go ritz one good luck
Q29_C4	printable map doha get mine great
Q29_C5	printable map doha u download ok
Q30	anywhere qatar sell pineapple juice search high low pineapple juice concentrate rubbish find anywhere guy accept mission
Q30_C1	il wife one il wife one cant get grip
Q30_C2	better make home better make home
Q30_C3	buy brand buy brand monte pineapple pure fresh artificial flavor store big
Q30_C4	try try
Q30_C5	recommend monte recommend monte pineapple juice available hypermarket store
Q30_C6	satisfy satisfy monte best option buy fresh pineapple make home
Q31	north indian group family socialize seem group community north indian family let make one interest
Q31_C1	bachelor guess bachelor guess cant member contact next year married someone annoy take muscle face frown take muscle extend arm slap
Q31_C2	good one good one
Q31_C3	go ahead go ahead
Q31_C4	lady group also lady group also ready
Q31_C5	first go indian group go north indian group go north indian lady group next indian lady le foot inch group
Q31_C6	north indian one north indian conduct program like reply le lefthander
Q31_C7	left say expat keep divide way eventually well end start alone one advise
Q31_C8	interest yes interest
Q32	prepay credit card online purchasing prepay service use online shopping know call prepay credit card prepay debit card anyway actually want open bank account looking easy instant pay cash give online credits purchasing know possible works idea grateful
Q32_C1	prepay credit card online purchasing go bookstore sell cards call work internet site go check buying go check site want buy
Q32_C2	prepay credit card online purchasing really looking find solution buying online qatar internet hear one issuing cards deduct service buy try find bank
Q32_C3	prepay credit card online purchasing use make cc holder u check group doha bank
Q32_C4	prepay credit card online purchasing using atm card great safe addition ask bank account
Q32_C5	prepay credit card online purchasing body advice doha bank call get better information details
Q33	villa budget hi new qatar budget villa child go need doorstep point right direction budget please many thanks
Q33_C1	great thank get great thank get map start hunting
Q33_C2	looking villa looking villa past week know al villa ur interest send message recommend good one see ur range
Q33_C3	great please tell great please tell send private message
Q33_C4	thank give agent thank give agent call
Q34	wedding card designer know nice wedding card designer doha company design printing wedding cards
Q34_C1	wedding card designer call
Q34_C2	wedding card designer bin street
Q34_C3	wedding card designer thank u recommend shop street
Q35	lady please help mei looking buy wet grinder doha purchase one give make model small tabletop attachment
Q35_C1	use know someone use know someone affectionately nickname wet
Q35_C2	one indian available help
Q35_C3	different grinder use grind also make powder wet make sort use grinding quantity border picture image
Q35_C4	check lulu model check lulu model available p p p p p p p p
Q35_C5	look f suddenly try look f suddenly try show vast knowledge kitchen tool go learn cook good mother law first p good fortune always come knocking toilet p
Q35_C6	want want demonstration free sample border picture image
Q35_C7	smoke use terms like use say use
Q35_C8	brit say brit say knowledge sure never see use one p f thought never ask free sample trick always come good fortune always come knocking toilet p
Q35_C9	wet grinder available wet grinder available p trader pt main shop selling wet grinder doha mine bring india years back
Q35_C10	cant border alt cant light dark stick
Q35_C11	thanks thanks use
Q35_C12	border alt einstein pb cant light dark stick
Q35_C13	thought mean real thought mean real wet grinder use one trampoline
Q35_C14	birdie u absolutely say indian change
Q35_C15	wet grinder answer back stamp please hoist flag pole see salute
Q35_C16	cool want one hoist flag pole see salute
Q35_C17	border alt blender back coffin cant light dark stick
Q35_C18	blender blender say know difference
Q35_C19	stop hijacking stop hijacking useful information
Q35_C20	f thank information
Q36	looking therapist doha hi wonder know decent therapist doha realize therapy probably western concept large expat community must floating around many thanks help
Q36_C1	current studying beauty current studying beauty therapy come qatar soon help exactly want do
Q36_C2	online therapist work
Q36_C3	nice one mean
Q36_C4	psychotherapy hi psychotherapist ad working doha
Q37	halal indian food available houston know exactly halal indian food available houston
Q37_C1	try internet check regard
Q37_C2	indian food halal indian food available highway south moreover halal chinese halal iranian restaurant available area
Q37_C3	wow going global wow going global
Q37_C4	wonder houston
Q37_C5	thank guy thank help internet know global
Q38	ps want buy either ps please suggest one good
Q38_C1	ps suggest ps complete entertainment station gaming also watching movie many format store photo system view nifty album format connect pc sharing connect one play mp format song many forget variety awesome game shelf popular one discount price opinion regard
Q38_C2	ps thanks valuable piece advice
Q38_C3	ps suggestion
Q38_C4	ps ps buy free network u pay monthly year
Q38_C5	ps hi buy ps popular game like god war r means
Q38_C6	ps thanks guy really appreciate ur suggestion definitely go ps
Q39	sale aware transfer fee us online transfer kindly give idea much sell many thanks
Q39_C1	sale cost buying directly qatar airway accept le many people want spend money transfer rather want go qatar airway office permit use agree pay agree amount pay qatar airway tax fee
Q39_C2	sale many people b want spend money transfer
Q39_C3	sale hi u still interest selling
Q39_C4	sale hi purchase call
Q39_C5	sale want buy whole mile ok call
Q40	company qatar hire baby furniture car seats move qatar shipping belongings wont arrive nearly week cant decide best pay excess bring item like child car seat us put shipping company qatar short term hire item include cot car seats high chair
Q40_C1	company qatar hire baby saw lulu carrefour
Q40_C2	company qatar hire baby hi airline charge extra car seat travel cot travel uk south africa switzerland always able take stroller car seat travel cot extra charge phone airline find
Q40_C3	company qatar hire baby definitely phone airline baggage rule change lot nearly get sting us three bag earlier month recently october fly us doha qatar airway counting baggage requirement words allow two bag passenger two adult two pay kid allow eight bag plus two car seats longer allow six bag plus two car seats costs us bag learn hard way urban legend us
Q40_C4	company qatar hire baby oh answer question sorry bout aware company hire car seats particular generally use outside expatriate crowd find need city center store depend luggage situation might make sense bring
Q41	want flat rent bedroom hall bathroom kitchen expect contact mob lan
Q41_C1	want flat rent
Q42	get gluten free food mart center suffer need eat gluten free one know shop doha sell gluten free food mart center also one know restaurant selling gluten free food
Q42_C1	get gluten free food suggest go get information concern gluten free food
Q42_C2	get gluten free food mart say new lulu al thursday whole new selection gluten free product also found carrefour
Q42_C3	get gluten free food mart centre behind best range found doha also found gluten free product carrefour supermarket lulu new lulu al whole new range gluten free product thursday last week keep touch private assist best
Q42_C4	get gluten free food gluten free bakery qatar newly open near sport club al road open pm friday close
Q42_C5	get gluten free food buy full range product qatar find product branch like airport gean market plaza details call
Q43	urgent buying nissan model mileage asking price suggest dis car buy buy b final tell
Q43_C1	urgent go provide car good running condition
Q43_C2	urgent dis car b please spell correctly shorthand sometimes write way taking note meeting fix get office
Q43_C3	urgent people try fashionable writing type shorthand know teenage girl write email hi aunty dis dat shock one day father try write language another indian study indian suddenly start get ta go wan na us slang
Q43_C4	urgent first computer test see current condition vehicle decide
Q43_C5	urgent hi try buy cheap last time get offer kilometer model
Q44	wan na play squash like go squash times week also want learn start playing feel free ping cheer
Q44_C1	kind game squash kind game squash sorry ignorance please enlighten
Q44_C2	know play interest learning playing good work learn play game regard
Q44_C3	send sound interest send pin ping
Q44_C4	know play know play squash love learn well
Q45	ps hi want buy game console year old daughter far check option need advice one better two thanks
Q45_C1	ps u buy ur year old child ps site kind game game like buy
Q45_C2	ps suggest u sit one place play game get start move playing best kid age
Q45_C3	ps fun game kid
Q45_C4	ps better exercise
Q45_C5	ps
Q46	best manicure buddy need manicure see attach best place
Q46_C1	see eating apple feel sick guy really
Q46_C2	go go bathroom hands
Q46_C3	lungi anyway wow wow amaze
Q47	gym wander gym today guy front desk happy walk around take look pushy say facility amaze money serious get shape definitely check
Q47_C1	qatar fitness center season ticket sale selling season ticket attendance hours midnight friday fitness center locate al area valid till price negotiable transfer fee call
Q48	going bahrain hi friend want go bahrain weekend visit us uk india allow buy ticket fly also able get visa bahrain much cost thanks
Q48_C1	going bahrain get visa arrival get ticket fly bahrain enjoy
Q48_C2	going bahrain guess fellow need visa bahraini embassy doha think eligible visa arrival best
Q48_C3	going bahrain check eligibility bahrain visa online visiting link days visa issue online nationality
Q48_C4	going bahrain thanks much website especially useful glad make trip happen
Q48_C5	going bahrain guy uk get visa arrival bad news indian get visa way exclude indian
Q48_C6	going bahrain u mean exclude indian indian going let fly swim
Q49	another question sponsorship hypothetically speaking wife arrive husband sponsorship get job want leave job another better pay job
Q49_C1	wife wife sponsorship husband freely company
Q49_C2	works husband well
Q49_C3	restriction courtesy better follow terms labor law regard terminate contract either party
Q49_C4	well bit complex well bit complex get job allow stay husband sponsorship change noc job require sponsorship
Q50	timing timing week thank
Q50_C1	
Q51	transfer sponsorship one colleague already use sponsorship facility three times due recession loss work want use facility fourth time possible permit transfer sponsorship do fourth time limited three
Q51_C1	thanks info thanks lot
Q51_C2	seem difficult time seem difficult time transfer sponsorship thrice ordinary u reliable immigration ok even current company let free work anywhere immigration might obstacle
Q51_C3	fine dear long fine dear long pay change sponsorship mush want long noc change times worry
Q52	greek embassy greek embassy doha contact details appreciate thanks
Q52_C1	greek embassy consular services greek national cyprus embassy doha represent consular interest diplomatic protection greek national live work qatar greek embassy country greek national certify document signature ask permanent resident certificate price certification around depend exchange rate also cyprus embassy keep mailing list greek cypriot live work qatar encourage register mailing list update daily every effort make best accuracy embassy distribute security information necessary important information register national greek ambassador qatar ambassador greek embassy kuwait cyprus start issuing visa yet visa application greece process embassy france information please contact consular section embassy check link
Q52_C2	greek embassy try one po box
Q52_C3	greek embassy near inter continental hotel
Q52_C4	greek embassy recently open prime minister greece last days near intercontinental hotel roundabout go left rb first right find sign greek embassy bahrain embassy school information cyprus embassy old
Q52_C5	greek embassy first answer outdated delete greek embassy qatar hours daily except friday location opposite doha center driving city center make doha center round meter make right turn make right follow maybe second right another right till see van belonging construction office find greek embassy close greek embassy phone number
Q53	employment band help impose yr case resign visa expire company give go back country employment band need wait yr finish enter doha
Q53_C1	employment band know ban qatar employment give release wait least two years go back qatar
Q53_C2	employment band get objection certificate current sponsor u enter doha valid visa
Q53_C3	employment band sponsor ban lifetime years minimum years year ban common cancel go yr ban sponsor show solid reason mini interior hard employer want return old carry noc time need endorse immigration endorsement expire case new employer get another one get new visa visa type visa need years bar
Q53_C4	employment band u noc u come make sure get ur cancel current company leaving make sure cross month expiry get sponsorship change u release good luck
Q53_C5	employment band actually papers labor apply change sponsorship reject reason immigration impose new rule company sponsorship transfer husband sponsorship allow vice visa expire need go back home asking go back home able come back qatar month way noc w release paper previous company
Q54	social circle wish create pool friend get together weekend getting partner hit dance floor flashing back good old memory college days friend circle awesome meeting new gal n boy easy full rock
Q54_C1	love love
Q55	penalty unclaimed new plate number claim new plate number three month much please need response experience thank
Q55_C1	penalty unclaimed new plate number claim one
Q55_C2	penalty unclaimed new plate number sure penalty tell collect within days number plate scrap pay plate think two try go back traffic department incase plate still say go holiday give shot
Q55_C3	penalty unclaimed new plate number penalty apply new plate
Q55_C4	thanks comment yes thanks comment yes penalty pay new plate
Q56	truth sent jail police catch dating someone mean catch dating someone husband wife
Q56_C1	truth sent jail dating issue sexual relationship issue think jail come one party married still worse stoning country
Q56_C2	truth sent jail well yes find kissing public even room one saw complain better careful dating issue nasty bring trouble ms strawberry u go date
Q56_C3	truth sent jail ur shit u
Q57	calculator good work do using excel
Q57_C1	quality mention exactly border picture image
Q58	remove mod post classified
Q58_C1	border alt border alt
Q59	mac book pro want switch mac best place buy mac book pro apple store mall little expensive one suggest bit cheap store around doha
Q59_C1	mac book pro thanks guy
Q60	call cat recently come home tat cant think name male someone tell arabic please
Q60_C1	get name already border
Q60_C2	rover different hoist flag pole see salute
Q61	bringing book qatar dear please advise bring book dubai qatar book belong physiotherapy use book reference appreciate kind guidance book
Q61_C1	bringing book qatar many thanks value support usual book heavy around kg total use postal sure end pay huge charge alternative
Q61_C2	bringing book qatar well guess check see coming qatar dubai request get book honest think willing fill kg luggage space get book someone way might find shipment option helpful might little homework check shipment company give best price instruct accordingly alternately try looking book qatar ie bookstore
Q61_C3	bringing book qatar ani given right answer want spend money shipping charge find someone coming also willing take kg load free charge probably difficult way
Q61_C4	bringing book qatar contact ee global line kr operations supervisor mob
Q61_C5	bringing book qatar check advertise use book website simply donate open page going community people interest book swap opening book club
Q62	resignation one friend working qatar planning resign go back country asking company give service whatsoever
Q62_C1	resignation gratuity days basic salary get work years
Q62_C2	resignation qatar labor laws days basic salary gratuity year work year days last daily basic pay gratuity amount
Q62_C3	resignation calculation gratuity qatar labor law days basic salary year u work years become month basic salary instead days year u right get days leave u get previous years u claim also calculation base last basic salary u get suppose time ur joining ur basic salary u r getting basic salary calculation base last one ur contract contract u give week notice informing ur resignation ur contact duration contact u must give month notice ur resignation wise deduct month salary remain balance days salary ur settlement
Q62_C4	resignation get gratuity days year last draw basic apart legally nothing
Q63	na enough hello internet work qatar na enough think free accommodation transportation office
Q63_C1	na enough hello accommodation transportation provide offer really lame see wont enough monthly expense good luck
Q63_C2	na enough spend moderately enough whole month food expense save spend money correctly
Q63_C3	na enough bad offer keep try better luck next time
Q63_C4	na enough u tell school u join u earn money also bright future school good
Q63_C5	na enough u make laugh say means clear spend qatari food save realist man matter u tighten ur self u mean spend save u reply india moon dear low negotiate hard u u need
Q63_C6	na enough young guess first time work abroad go expect much u grow get experience bargain best offer
Q63_C7	na enough much tell management reduce salary range definitely agree think teaching profession money charity
Q63_C8	na enough enough satisfactory job well soon ask increase regard
Q64	find good house maid one suggest please looking housemaid muslim family member
Q64_C1	find good house maid one good housemaid employ good available good nothing
Q64_C2	find good house maid one probably better going pet shop purchasing one baboon good luck find answer please post
Q64_C3	find good house maid one know try error start month hire see good take change
Q65	good salary hi get job offer qatar offering month bonus pay quarterly way get india think good salary qatar married wife join much able save average month thank advance
Q65_C1	good salary good salary bonus plus u pay rent month bedroom fully furnish apartment around water electricity bill monthly budget grocery maximum saving around save depend life style u choose life qatar good peaceful free worry worry take chance good opportunity
Q65_C2	good salary find semi furnish brand new flats include water electricity doha month grocery petrol maintenance economy car good condition telephone internet total monthly expense come around maximum save half salary good plan good luck go ahead good job offer company project real
Q65_C3	good salary single okay married wont saving living expense good one person house rent food eat salary transportation car maintenance education fee additional burden meagre salary
Q65_C4	good salary thanks good salary asian standard
Q65_C5	good salary see die salary lifestyle
Q65_C6	good salary yes good family easily pay home rent car car payment rest salary shopping spend good time friend
Q66	car transfer one friend visit visa qatar get permanent qatari driving license buy car name though residence visa
Q66_C1	car transfer get qatari driving license permanent residence permit id
Q66_C2	car transfer might get temporary dl confuse issue permanent dl id person visit visa permanent dl qatar able buy car
Q66_C3	car transfer please get fact straight get permanent driver license license link bear number
Q66_C4	car transfer license connect qatari id visa cancel license meaning well driving risk similar license get new sponsor get new qatari id need apply new license link new id
